"group","month_yr","n"
"myocarditis","2021-02",127
"myocarditis","2021-03",147
"myocarditis","2021-04",132
"myocarditis","2021-05",114
"myocarditis","2021-06",127
"myocarditis","2021-07",93
"myocarditis","2021-08",129
"myocarditis","2021-09",129
"myocarditis","2021-10",113
"myocarditis","2021-11",161
"myocarditis","2021-12",145
"myocarditis","2022-01",117
"myocarditis","2022-02",112
"myocarditis","2022-03",100
"myocarditis","2022-04",108
"myocarditis","2022-05",106
"myocarditis","2022-06",115
"myocarditis","2022-07",109
"myocarditis","2022-08",118
"myocarditis","2022-09",107
"myocarditis","2022-10",133
"myocarditis","2022-11",126
"myocarditis","2022-12",139
"myocarditis","2023-01",136
"myocarditis","2023-02",126
"myocarditis","2023-03",128
"myocarditis","2023-04",97
"myocarditis","2023-05",72
"pericarditis","2016-07",1
"pericarditis","2016-08",5
"pericarditis","2016-09",1
"pericarditis","2016-10",1
"pericarditis","2016-11",2
"pericarditis","2016-12",3
"pericarditis","2017-01",1
"pericarditis","2017-02",2
"pericarditis","2017-04",2
"pericarditis","2017-05",2
"pericarditis","2017-07",3
"pericarditis","2017-08",4
"pericarditis","2017-09",1
"pericarditis","2017-10",2
"pericarditis","2017-11",1
"pericarditis","2017-12",2
"pericarditis","2018-02",2
"pericarditis","2018-03",4
"pericarditis","2018-04",1
"pericarditis","2018-05",6
"pericarditis","2018-06",4
"pericarditis","2018-07",4
"pericarditis","2018-08",4
"pericarditis","2018-09",3
"pericarditis","2018-10",5
"pericarditis","2018-11",3
"pericarditis","2018-12",4
"pericarditis","2019-01",6
"pericarditis","2019-02",4
"pericarditis","2019-03",2
"pericarditis","2019-05",2
"pericarditis","2019-06",4
"pericarditis","2019-07",1
"pericarditis","2019-08",2
"pericarditis","2019-09",4
"pericarditis","2019-10",2
"pericarditis","2019-11",8
"pericarditis","2019-12",5
"pericarditis","2020-01",4
"pericarditis","2020-02",4
"pericarditis","2020-03",4
"pericarditis","2020-04",6
"pericarditis","2020-05",5
"pericarditis","2020-06",7
"pericarditis","2020-07",8
"pericarditis","2020-08",5
"pericarditis","2020-09",4
"pericarditis","2020-10",3
"pericarditis","2020-11",2
"pericarditis","2020-12",4
"pericarditis","2021-01",7
"pericarditis","2021-02",5
"pericarditis","2021-03",7
"pericarditis","2021-04",6
"pericarditis","2021-05",5
"pericarditis","2021-06",6
"pericarditis","2021-07",3
"pericarditis","2021-08",6
"pericarditis","2021-09",3
"pericarditis","2021-10",9
"pericarditis","2021-11",5
"pericarditis","2021-12",3
"pericarditis","2022-01",8
"pericarditis","2022-02",3
"pericarditis","2022-03",8
"pericarditis","2022-04",5
"pericarditis","2022-06",5
"pericarditis","2022-07",5
"pericarditis","2022-08",8
"pericarditis","2022-09",7
"pericarditis","2022-10",12
"pericarditis","2022-11",4
"pericarditis","2022-12",5
"pericarditis","2023-01",8
"pericarditis","2023-02",6
"pericarditis","2023-03",6
"pericarditis","2023-04",6
"pericarditis","2023-05",3
